"","Adipose tissues","Adrenal glands","B-cells","Brain","Colon","Esophagus","Heart","Liver","Lung","Neutrophils","Pancreas","Small intestines","T-cells","Placenta"
"C23",0,0.0321840055159896,0.00458165339888247,0.0211560363243533,0.336316315959454,0,0,0.0559078542008296,0.110507611544042,0.073944826065444,0.032094923427249,0.178944328364274,0,0.154362445199483
"C35",0.217487793256737,0.0736116753648895,0,0,0.0448856725011009,0.00159698635189054,0.0192853671409248,0.120280712288744,0.201502642492641,0.309817844673601,0,0,0.0115313059294711,0
"C47",0.0376119247018282,0.000800505365831242,0,0,0.0248597410242731,0.0179872174785052,0.181507627009863,0.0893853514887623,0.0609787385537964,0.426406170564507,0.0222059327391885,0.0935121628604912,0.0447446282129539,0
"C46",0,0.0232836027143487,0.0338181781852009,0.0197514692936494,0,0.0273519186574344,0.022997176936146,0.038839200771022,0.309806538901865,0.365508444723742,0.029631787917525,0.10634568105897,0.0226660008400958,0
"C25",0,0.0330524853032653,0.0622347710747321,0.0317125835504568,0.450160884472278,0.0909234274544563,0,0.0210875626668296,0.0480340772119089,0.13182791990851,0.0508945145495615,0,0,0.0800717738080009
"C32",0.124324539381828,0.00925526492767471,0.046121192276056,0.0336127267765126,0,0.0789650939514132,0.0968003563614834,0.231255438217347,0.02477806925237,0.283021273907383,0,0.040773658425226,0.0310923865227062,0
"C20",0.0779049104263461,0.062427692700002,0.120628499878569,0,0.0372950943101582,0,0.111217075935818,0.0353710468977426,0.110481971661906,0.391454724968478,0,0,0.0532189832209799,0
"C36",0.17692537141991,0,0.0661650964041906,0.01512693452576,0.0493373713405964,0.0717886575708327,0.115999346532516,0.0948136749071754,0.0952284244994252,0.256301875621336,0.044615644816538,0,0.01369760236172,0
"C37",0.0612494078590832,0.044984927386426,0.00334641260212499,0.0269786814062462,0.0635703995091192,0,0.127709418998249,0.0896686771596386,0.129579364521946,0.181452043124254,0.019750810928529,0.215325167851509,0.0363846886528752,0
"C39",0.0262597660328024,0.0218346302719425,0,0.00273012306240523,0.0818426610163986,0.015816048025815,0.0559445596537152,0.427921780376473,0.111945586907661,0.147381213076112,0,0,0.108323631576675,0
"C33",0.0354373302728748,0.0478656066181267,0.114149430641955,0.0288050359575374,0.00891967397389164,0.148609376764356,0,0.0532268295096848,0.0763824279624319,0.415179431448137,0.035847837044179,0,0.0355770198068254,0
"C29",0.0519008095680789,0.0100200270371036,0.0315219326223594,0.0107039318536003,0.0164131140630566,0.0252156631460232,0.0197021267873956,0.0922520873541119,0.170185538501527,0.344289138257812,0.0324205881443557,0.15903961904541,0.0363354236191657,0
"C21",0.0962059015627558,0.0252697698881258,0.0787530891211349,0.01348726328404,0.0497517781622455,0.0648477562432663,0.183889770835162,0.0633819541156659,0,0.262367335412947,0.0194622050149785,0.0640443995912452,0.0785387767684329,0
"C24",0.0723344995896358,0,0.0517114095840169,0.0134018567404867,0.0251901644428469,0.0114321888623884,0.127352107284981,0.0461401421078307,0.192827395956998,0.366136996977557,0,0.0827458213468093,0.0107274171064494,0
"C22",0,0,0,0.00461412514771637,0.00620866334558842,0.0190622424755986,0.101559924290195,0.41643239112148,0.0951945526105274,0.25592604880293,0,0.101002052205964,0,0
"C45",0.0456019093900868,0.0308624074476387,0.0487628531006708,0,0.0238895331727706,0.0639810438706874,0.0472540709454718,0.0485310733968661,0.121780771150427,0.407309649281437,0.00697843079311625,0.0733634721949979,0.0816847852558298,0
"C48",0.0444023837626194,0.0485399556207253,0.0261344106781739,0,0.0170065374445198,0,0.0415299556334417,0.028692515123996,0.212667662669724,0.507738738505746,0,0,0.0558514536531578,0.0174363869078964
"C50",0,0,0.0714737272553346,0.0229217320157787,0.00148548552320277,0.0731444020384584,0.102652868309917,0.0818712993040187,0.120326801662287,0.295532269112033,0,0.176553924411659,0.0540374903673101,0
"C44",0.0307245069430069,0,0.034536065054297,0.0423408286324939,0.0404262842032027,0.0833060504219989,0.126121616909852,0.0343204714752661,0.0439541808128527,0.424520612491434,0.00152105360370833,0.0846347188387918,0.0535936106130958,0
"C27",0.201227216614373,0.0173074117966183,0.076859467610988,0.00470370078301206,0.0492647547901902,0,0.047010264945253,0.0306691739207701,0.097035091869125,0.24878952522941,0,0.134335272889242,0.0808890657980532,0.0119090537529664
"C42",0.0486533987672815,0.0187266975227863,0.022581461509164,0.022111524731088,0.00837864194644626,0,0,0.0446904854577375,0.112108946907497,0.529882225958171,0.0302089245193793,0.106978617175466,0.0556790755049832,0
"C43",0,0.0756392827921256,0.0636311134791318,0,0,0.0527022998310513,0.0493976924681155,0.148640949731526,0.0555721917552779,0.480337679984289,0.0592154286096859,0.00468262272201353,0.0101807386267839,0
"C41",0.0163100824033659,0,0.0177030510122973,0.023776880365961,0.0147290923719206,0.0378066657440551,0.0532721864307958,0.0722582549666315,0.206660935801719,0.446430785703391,0,0.0801562125553577,0.0308958526445049,0
"C40",0.0121240131721886,0.0810396394480373,0.0765627114176482,0,0,0.0558402419703705,0.0844379921695998,0.00627600675577328,0,0.563830832242843,0.0023551123904223,0.0390520606385133,0.078481389794604,0
"C31",0.121614565971754,0,0.0400965605668602,0.0205690246638594,0.0438316082204071,0.0675246538562719,0.110033321146582,0.0295861723339166,0.0614899274970472,0.309849405316899,0.0214842214433051,0.166211509588802,0.00770902939429646,0
"H01",0.0750975694761287,0.106111499386972,0.0205782017285329,0.0179767245046322,0.0465130708023939,0.074811906402793,0.000761085839540991,0.0620351449811412,0.00611895266288385,0.503269166267771,0.0334540812663147,0,0.0532725966808954,0
"H02",0.18891071819821,0.0678516546248721,0.0215553563014094,0.0111127021743826,0.0273568529244453,0,9.34686306856489e-05,0.0223004405658486,0.126965683765399,0.438553096244493,0.0224472077570373,0.0237328586267928,0.0491199601864238,0
"H03",0.008282003135367,0.0923111597747108,0.0504711584229867,0,0,0,0.0383935170864543,0.171689783895289,0.115491473379905,0.265070393402833,0.0553565883290663,0.196431390479525,0.00650253209386326,0
"H04",0.122272973286695,0,0,0,0,0.041406767900984,0,0.0700342446609138,0.245830589189968,0.370266817175905,0,0.121165501300932,0.0290231064846008,0
"H05",0.063999256680853,0.0469654468327164,0.0590268350724934,0,0.00603737386221122,0.0605066693884875,0.152036663707476,0.0460750759573749,0.0819304080413694,0.47651501874608,0,0,0.0069072517109378,0
"H06",0.121502768076961,0,0.0658922652209866,0,0,0.0865674735459163,0.0450150763495211,0.00738447669347996,0.246985100078709,0.42527799942165,0,0,0.00137484061277615,0
"H07",0.178152542220398,0,0.0550998407393009,0,0,0.0351003103286787,0,0.0714770236953713,0.133191814275489,0.297334979387379,0.0059227992235755,0.223720690129807,0,0
"H08",0.0648162189593432,0.0197735472368669,0.0292786211062161,0,0.0297538765672878,0.0443063033161909,0.021615454983829,0.0537714868837876,0.251932497309167,0.410578003136169,0,0.0741739905011421,0,0
"H09",0.154768875097512,0.0341547788249457,0.0609791802143397,0.0122743320870632,0.000218216511730348,0,0.0632170481558935,0.0490932198967328,0.157946141366065,0.332439058794989,0.0271998465245766,0.0329008679873641,0.0748084345387879,0
"H10",0.00903056448664182,0.00107227986357195,0.0415685029288876,0,0.0424430715879178,0,0.0921039287125617,0.0299265997894932,0.0614284499583252,0.657556555147772,0.0294829016926669,0,0.0353871458321619,0
"H11",0.067354179817691,0.00412762922504394,0.0186364592705127,0.0138152883502664,0.0228631824202813,0.0477429314469851,0.0510127187399697,0.0673705146114856,0.189758469510057,0.489738954855196,0.00878603036307563,0,0.018793641389436,0
"H12",0.108984677167046,0.0192998914227259,0.0463098138543921,0.0092423054238982,0.00795078108182887,0,0.00218383754637032,0.0434372765046909,0.186487770513731,0.494588852511838,0.00693587777682392,0.0529100073209933,0.0210869623671624,0.000581946508499161
"H13",0.259654420638829,0,0.0519221163407769,0,0,0.0432317015517186,0.00273566683478104,0.0209227452100812,0.0277380770075308,0.365727455857925,0.0282253833393485,0.199842433219009,0,0
"H14",0,0.032300657441863,0.0522507624509383,0.0224577528257098,0.0420621862315431,0.0323420911812369,0.0705817398696416,0.138369586572502,0.0843983106397533,0.360331146736994,0.0356545188287051,0.0698948093519278,0.0593564378691849,0
"H15",0.187087053874288,0,0,0,0.00961015237633708,0,0.0885797846565972,0.199758062202065,0.147660564790155,0.237651260355113,0,0.126322886245801,0,0.00333023549964417
"H16",0,0,0.0587492258930603,0.0263785065841111,0.0299441199810087,0.0255395045530302,0.148850589867157,0.053963810866894,0.084569296436161,0.402485068232236,0.0388262985166925,0.075227246785932,0.0554663322837166,0
"H17",0,0.026015270572754,0.0770834540194832,0,0.0215802909193208,0.0874523467828075,0.181371264921344,0.0221005990930194,0.0156836716589575,0.426747889240276,0.0501326243700937,0.0765633201302344,0.0152692682917099,0
"H18",0.0450656694552354,0.0190354323274547,0.0483972180181987,0.0273434564210866,0.0527987609510816,0.0174403624828326,0.0738652624371615,0.0854881425024343,0.124652405108649,0.364497890942472,0.0111836093542364,0,0.130231789999157,0
"H33",0.151375869934455,0.0515590503081198,0.0533544941697386,0.027565685184768,0.0364485084875872,0.0362769938880258,0.152432473759721,0.0488425334047526,0.109756974994503,0.267769084088627,0.0197861835909404,0,0.0448321481887616,0
"H27",0.130300790424698,0,0,0,0,0,0.0732211316515922,0.0501103023149603,0.242259443863849,0.428021932793745,0.0244992185206996,0.0479670852199632,0,0.0036200952104936
"H28",0.0302377032166631,0.0122497247229837,0.0331016960169406,0.00889312669211561,0.000622689255814558,0.0820649799557229,0.0980535014677896,0.0294731383586308,0.0723669557188979,0.558120509068882,0.0201915199087556,0.0516556373854193,0.00296881823138385,0
